Co_ID|PO ID|Exchange|Name| Root_Ticker | qmv | OS_Shares | tech_sub_sec | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|QT_Date|RTO_Date|Date_of_amalgamation|Interlisted|formar_cpc_or_cpc|Ven_50_2018|Index|hq_location|hq_region|usa_city|USA_State|Asia_Region|clean_tech_primary|clean_tech_sub_sector|Section|trust| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties|
V-01701|1074427|TSXV |Robex Resources Inc.|RBX| 57,950,957 | 579,509,566 ||||Mining||||||||No||1|Quebec|Canada||||||Tier2|| 9,349,068 | 838,131 | 672 |6|Mali|||||||||1|||||||||||||||||||
V-01703|818794|TSXV |Rochester Resources Ltd.|RCT| 834,035 | 20,850,882 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 286,037 | 16,101 | 79 |6|||||Mexico|||||1|1||||||||||||||||||
V-00857|1023316|TSXV |Rock Tech Lithium Inc.|RCK| 43,863,403 | 33,741,079 ||||Mining||||||||No||1|BC|Canada||||||Tier2|| 1,506,793 | 2,182,938 | 1,597 |6|||ON,Quebec|||||||||||||||||||1|||||||
V-00080|1096672|TSXV |Rockcliff Metals Corporation|RCLF| 4,821,219 | 160,707,284 ||||Mining||QT from NEX||20110516 NEX||||Yes|||ON|Canada||||||Tier2|| 23,050,052 | 937,239 | 740 |6|||MB|||||||1|1|1|||||||1||||||||||
V-02809|1118271|TSXV |Rockhaven Resources Ltd.|RK| 19,214,762 | 153,718,093 ||||Mining||Other|20080429|||||No|||BC|Canada||||||Tier2|| 8,247,979 | 1,150,277 | 1,230 |6|||YT|||||||1|1||||||||||||||||||
V-04393|1178645|TSXV |Rockridge Resources Ltd.|ROCK| 2,144,980 | 12,701,001 ||||Mining||IPO|20171211|||||No|||BC|Canada||||||Tier2|| 256,900 | 72,179 | 57 |6|||ON|||||||1|||||||||||||||||||
V-02963|1118193|TSXV |Rockwealth Resources Corp.|RWR| 655,912 | 4,858,606 ||||Mining||RTO|20090323||20101115|||No|||BC|Canada||||||Tier2|| 459,296 | 99,428 | 81 |6||||Philippines||||||1||1|||||||||||||||||
V-00822|17760|TSXV |Rogue Resources Inc.|RRS| 3,482,873 | 15,142,928 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 869,174 | 254,290 | 249 |6|||ON, Quebec||||||||||1||||1|||||||||||Silica|
V-03898|1148920|TSXV |Rokmaster Resources Corp.|RKR| 2,180,825 | 20,974,662 ||||Mining||IPO|20111121|||||No|||BC|Canada||||||Tier2|| 3,607,513 | 148,625 | 174 |6|||||Mexico|||||||||||||||||||||1|||
V-01714|1062224|TSXV |Romios Gold Resources Inc.|RG| 9,962,250 | 181,131,824 ||||Mining||||||||No||1|ON|Canada||||||Tier2|| 8,458,420 | 571,875 | 681 |6|||BC,ON,Quebec|||||NV||1||1|||||||||||||||||
